(0, 0)
(16, 17)
(0, 11)
(0, 15)
(0, 17)
(0, 23)
(0, 25)
(0, 28)
(20, 28)
(1, 0)
(1, 3)
(1, 6)
(1, 7)
(1, 11)
(1, 18)
(1, 24)
(1, 27)
(1, 28)
(19, 27)
(1, 31)
(1, 33)
(27, 25)
(2, 7)
(2, 9)
(2, 11)
(2, 17)
(15, 22)
(2, 23)
(2, 25)
(2, 31)
(3, 2)
(3, 4)
(3, 8)
(8, 18)
(3, 18)
(3, 19)
(3, 22)
(4, 1)
(4, 5)
(4, 9)
(7, 12)
(12, 20)
(16, 22)
(20, 24)
(10, 23)
(5, 5)
(5, 7)
(5, 10)
(5, 11)
(5, 15)
(5, 18)
(5, 19)
(5, 25)
(5, 29)
(5, 31)
(5, 32)
(6, 6)
(6, 7)
(6, 9)
(6, 10)
(6, 12)
(6, 17)
(6, 18)
(6, 19)
(6, 21)
(6, 30)
(6, 31)
(6, 32)
(6, 33)
(7, 2)
(7, 7)
(7, 10)
(14, 16)
(7, 13)
(7, 22)
(21, 25)
(19, 29)
(23, 20)
(8, 13)
(8, 15)
(8, 23)
(8, 25)
(17, 26)
(8, 33)
(9, 13)
(9, 15)
(9, 20)
(9, 21)
(9, 29)
(9, 33)
(10, 1)
(10, 3)
(19, 16)
(10, 7)
(10, 9)
(22, 21)
(10, 13)
(10, 15)
(10, 29)
(11, 5)
(11, 6)
(11, 8)
(11, 10)
(11, 13)
(11, 19)
(11, 21)
(11, 24)
(11, 25)
(11, 32)
(11, 33)
(12, 5)
(12, 9)
(12, 11)
(12, 13)
(12, 27)
(12, 28)
(13, 0)
(25, 21)
(13, 3)
(13, 9)
(13, 13)
(13, 18)
(13, 22)
(13, 25)
(13, 30)
(13, 32)
(14, 2)
(14, 17)
(14, 18)
(14, 20)
(14, 22)
(14, 23)
(21, 27)
(21, 28)
(15, 2)
(15, 3)
(15, 5)
(15, 15)
(15, 17)
(15, 18)
(15, 20)
(15, 21)
(15, 23)
(15, 33)
(16, 0)
(16, 1)
(16, 3)
(16, 7)
(18, 11)
(16, 9)
(16, 21)
(16, 27)
(16, 33)
(17, 9)
(17, 11)
(17, 17)
(18, 0)
(18, 8)
(18, 13)
(18, 15)
(18, 18)
(18, 19)
(18, 25)
(18, 27)
(18, 33)
(19, 2)
(19, 7)
(19, 12)
(19, 14)
(19, 24)
(19, 30)
(19, 31)
(20, 6)
(20, 7)
(20, 9)
(26, 22)
(20, 12)
(20, 13)
(20, 17)
(20, 21)
(20, 22)
(20, 29)
(20, 30)
(21, 1)
(21, 7)
(21, 11)
(21, 20)
(21, 29)
(22, 1)
(22, 3)
(22, 5)
(22, 8)
(27, 27)
(23, 2)
(23, 3)
(23, 9)
(23, 14)
(23, 19)
(23, 23)
(23, 25)
(23, 33)
(25, 8)
(24, 3)
(24, 9)
(24, 11)
(25, 1)
(25, 4)
(25, 13)
(25, 15)
(25, 31)
(26, 8)
(27, 0)
(27, 4)
(27, 6)
(27, 13)
(27, 15)
(27, 16)
(27, 21)
(27, 29)
(27, 33)
(28, 25)
(28, 33)
(29, 2)
(29, 3)
(29, 8)
(29, 14)
(29, 20)
(29, 25)
(29, 27)
(29, 28)
(29, 31)
(30, 0)
(30, 3)
(30, 4)
(30, 5)
(30, 7)
(30, 9)
(30, 21)
(30, 25)
(31, 2)
(31, 9)
(31, 12)
(31, 17)
(31, 18)
(31, 22)
(31, 24)
(31, 26)
(31, 30)
(31, 33)
(32, 1)
(32, 3)
(32, 4)
(32, 6)
(32, 8)
(32, 17)
(32, 20)
(32, 29)
(33, 4)
(33, 8)
(33, 9)
(33, 12)
(33, 14)
(33, 15)
(33, 22)
(33, 25)
(33, 28)
(33, 29)
